ReqID,SupportsNeedID
6145,738
6146,739
6147,739
6148,739
6168,758
6169,7712
6205,786
6213,786
6214,786
6219,793
6253,7116
6254,7108
6254,7732
6255,7729
6256,7109
6257,7112
6258,7110
6259,7110
6337,7148
6338,7148
6339,7148
6340,7148
6341,7149
6342,7148
6343,7149
6344,7152
6345,7152
6346,7153
6386,7169
6401,7178
6402,7178
6403,7178
6404,7179
6405,7180
6406,7181
6407,7181
6408,7180
6476,7216
6477,7216
6479,7217
6480,7217
6481,7216
6482,7216
6483,7216
6484,7216
6485,7217
6486,7218
6487,7219
6523,7239
6524,7239
6525,758
6525,7241
6525,7712
6526,7241
6527,7242
6528,7242
6603,7284
6604,7285
6605,7285
6606,7284
6607,7285
6657,7310
6658,7311
6659,7311
6660,7312
6661,7312
6662,7312
6663,7312
6664,7312
6665,7312
6666,7312
6667,7312
6668,7312
6669,7312
6670,7312
6671,7312
6680,7303
6683,7300
6687,7328
6688,7328
6705,7338
6707,7340
6708,7340
6709,7340
6710,7340
6711,7340
6712,7340
6713,7300
6714,7303
6715,7305
6726,7349
6727,7349
6728,7350
6757,7368
6758,7368
6796,7699
6829,7411
6835,7421
6845,7300
6846,7300
6856,7435
6857,792
6857,7435
6858,7435
6859,7435
6998,7517
6999,7517
61033,7349
61039,7303
61040,7303
61041,7303
61083,7627
61083,7760
61084,7616
61085,7616
61086,7619
61087,7616
61088,7756
61089,7758
61090,7616
61090,7627
61090,7760
61091,7620
61091,7760
61092,7756
61093,7616
61093,7757
61094,7616
61094,7622
61094,7758
61095,7757
61100,7821
61101,7821
61102,7821
61103,7821
61111,7821
61112,7821
61113,7821
61114,7821
61115,7622
61116,7623
61116,7627
61117,7622
61118,7625
61118,7626
61119,7623
61119,7627
61120,7625
61120,7626
61121,7625
61122,7625
61122,7626
61123,7625
61123,7626
61124,7627
61125,7625
61125,7626
61126,7623
61126,7627
61127,7627
61128,7627
61131,7821
61132,7821
61133,7821
61134,7821
61135,7575
61135,7616
61136,7621
61137,7621
61138,7621
61139,7621
61140,7575
61140,7621
61141,7645
61141,7775
61142,7645
61142,7775
61143,7616
61144,7621
61145,7621
61146,7616
61146,7758
61147,7621
61147,7627
61147,7758
61148,7616
61148,7627
61148,7758
61149,7616
61149,7758
61150,7616
61150,7621
61150,7627
61150,7758
61151,7616
61151,7758
61152,7627
61152,7758
61153,7616
61153,7758
61154,7616
61154,7758
61155,7616
61155,7627
61155,7758
61156,7616
61156,7627
61156,7758
61157,7616
61157,7758
61158,7616
61158,7627
61158,7758
61159,7616
61159,7627
61159,7758
61160,7278
61161,7278
61162,7528
61163,7228
61166,7821
61167,7821
61168,7821
61169,7821
61170,7821
61180,7800
61181,7801
61182,7800
61183,7816
61184,7592
61185,7594
61186,7785
61187,7785
61188,7592
61189,7821
61190,7821
61191,7821
61192,7821
61200,7590
61201,7591
61202,7590
61203,7589
61204,7589
61206,7575
61207,7575
61208,7575
61209,7589
61210,7589
61211,7777
61212,7777
61213,7777
61214,7777
61215,7578
61216,7577
61217,7577
61218,7577
61219,7577
61220,7577
61221,7816
61222,7800
61223,7800
61223,7803
61224,7575
61224,7621
61225,7575
61225,7621
61226,7575
61226,7621
61227,7762
