sourceid ,  targetid
111  ,  1241
113  ,  1245
112  ,  1244
118  ,  1242
114  ,  1243
116  ,  1243
111  ,  230212
111  ,  230356
111 , 230357
111 , 230363
111 , 230368
111 , 230393
111 , 230394
111 , 230436
111 , 230540
111 , 230630
111 , 230631
111 , 230632
111 , 230679
111 , 230682
111 , 230686
111 , 230722
111 , 230768
113 , 230539
112 , 230058
112 , 230188
112 , 230233
112 , 230236
112 , 230237
112 , 230241
112 , 230242
112 , 230302
112 , 230366
112 , 230369
112 , 230373
112 , 2303932
112 , 230410
112 , 230432
112 , 230519
112 , 230529
112 , 230534
112 , 230556
112 , 230568
112 , 230570
112 , 230583
112 , 230584
112 , 230679
112 , 230692
112 , 230730
112 , 230844
112 , 230917
112 , 231005
112 , 231039
112 , 231042
112 , 231051
112 , 231052
112 , 231053
115 , 230303
117 , 230004
117 , 230253
117 , 230285
117 , 230405
117 , 230444
118 , 230367
118 , 230368
118 , 230530
118 , 230535
118 , 230542
118 , 230543
118 , 230544
118 , 230545
118 , 230546
118 , 230547
118 , 230549
118 , 230629
114 , 230541
114 , 230548
116 , 230531
116 , 230532
119 , 230014
119 , 230355
120 , 230557
120 , 230640
120 , 231047
111 , 33366
113 , 33376
112 , 33356
112 , 33396
112 , 33416
112 , 33446
117 , 33366
117 , 33406
114 , 33386
116 , 33436
120 , 33356
111 , 432
111 , 434
111 , 4344
111 , 4360
111 , 4361
111 , 4362
111 , 4365
112 , 43145
112 , 43146
115 , 43141
115 , 43142
117 , 43143
117 , 436
117 , 437
119 , 43135
111 , 592
111 , 597
113 , 59104
112 , 596
112 , 59601
112 , 596010
112 , 596011
112 , 596012
112 , 596013
112 , 596014
112 , 596015
112 , 596016
112 , 596017
112 , 596018
112 , 596019
112 , 59602
112 , 596020
112 , 596021
112 , 596022
112 , 596023
112 , 596024
112 , 596025
112 , 596026
112 , 596027
112 , 596028
112 , 596029
112 , 59603
112 , 596030
112 , 596031
112 , 596032
112 , 596033
112 , 596034
112 , 59604
112 , 59605
112 , 59606
112 , 59607
112 , 59608
112 , 59609
118 , 591
118 , 59101
118 , 59102
118 , 59103
118 , 592701
118 , 59302
120 , 59301
120 , 5933
112 , 61415 
112 , 61420 
112 , 61424
112 , 61458 
112 , 61479
112 , 61497
117 , 61416 
117 , 6142
118 , 61421 
118 , 61425 
118 , 61426 
118 , 61444 
118 , 61445 
118 , 61462 
118 , 61464 
118 , 61480 
118 , 61487 
118 , 61488 
118 , 61489 
118 , 61490 
118 , 61499
111 , 61427 
111 , 61442 
111 , 61480 
111 , 61487
117 , 61428
120 , 61429 
120 , 61481
117 , 6143
119 , 61436 
119 , 61439
111 , 71653
113 , 71684
113 , 71685
113 , 71686
112 , 71690
112 , 71691
115 , 71683
114 , 71687
114 , 71688
114 , 71689
116 , 71688
119 , 71688
120 , 71682
111 , 8161
118 , 8162
117 , 81624
112 , 81625
111 , 81626
111 , 8163
119 , 8164
111 , 91927
111 , 91929
111 , 91930
111 , 91931
111 , 91932
111 , 91933
111 , 91934
111 , 91935
111 , 91936
111 , 91937
111 , 91949
113 , 91928
117 , 91939
117 , 91943
117 , 91944
118 , 91927
118 , 91929
118 , 91930
118 , 91947
118 , 91948
120 , 91931
111 , 102321
111 , 102340
111 , 10234104
111 , 10234105
111 , 102346
111 , 102348
113 , 102345
113 , 10234501
112 , 10232101
112 , 10234701
118 , 102314
118 , 10234102
118 , 10234107
118 , 10235702
120 , 102332






